livreId;closeness;betweenness;pagerank
16452;0.194576;0.000001;0.000636
16464;0.201748;0.000000;0.000636
16469;0.216632;0.000109;0.000695
16501;0.177521;0.000007;0.000558
16527;0.108756;0.000000;0.000384
1653;0.190257;0.000195;0.000597
1656;0.162467;0.000003;0.000532
16564;0.157014;0.000131;0.000503
1658;0.208040;0.000045;0.000651
1661;0.228759;0.000003;0.000733
16643;0.222275;0.000030;0.000712
16659;0.224034;0.000109;0.000706
16713;0.214641;0.000002;0.000677
1672;0.212090;0.000952;0.000660
16764;0.217158;0.000008;0.000684
16769;0.219659;0.000006;0.000690
16833;0.201387;0.000046;0.000636
1685;0.229944;0.000194;0.000728
16878;0.173635;0.000000;0.000547
16927;0.204099;0.000000;0.000659
1695;0.221727;0.000014;0.000702
16966;0.217896;0.000057;0.000709
17;0.203844;0.000135;0.000641
17034;0.204550;0.000000;0.000652
17090;0.209504;0.000433;0.000657
171;0.211221;0.000001;0.000667
17150;0.138982;0.000000;0.000463
17157;0.225124;0.000051;0.000704
1717;0.217951;0.000000;0.000682
1719;0.167827;0.000000;0.000550
17192;0.139762;0.000144;0.000465
17199;0.226068;0.000134;0.000709
1726;0.215691;0.000298;0.000673
1727;0.215639;0.000000;0.000686
17306;0.219092;0.000009;0.000703
1735;0.196879;0.000061;0.000617
17396;0.201003;0.000274;0.000644
174;0.222541;0.000040;0.000704
17405;0.160529;0.013269;0.000505
17450;0.187967;0.000058;0.000588
17489;0.091551;0.000000;0.000242
175;0.229717;0.000026;0.000730
1750;0.213035;0.000030;0.000693
1754;0.177890;0.000003;0.000584
1756;0.168715;0.000109;0.000556
17845;0.203668;0.000012;0.000679
17851;0.198531;0.000027;0.000630
17957;0.202531;0.000012;0.000634
17976;0.226241;0.000191;0.000729
17989;0.091373;0.000000;0.000242
18;0.194898;0.000000;0.000638
18047;0.209414;0.000004;0.000668
18247;0.207359;0.000009;0.000690
18251;0.157764;0.000000;0.000501
18269;0.212635;0.000007;0.000673
1837;0.221989;0.000001;0.000709
18442;0.187786;0.000019;0.000607
18459;0.144258;0.000000;0.000465
1849;0.226693;0.000007;0.000720
18569;0.216090;0.000000;0.000682
18590;0.188188;0.000000;0.000617
18707;0.207141;0.000130;0.000689
1872;0.209917;0.000025;0.000668
1874;0.201391;0.000013;0.000645
18755;0.183123;0.000000;0.000601
18857;0.228887;0.000033;0.000731
18897;0.119210;0.000049;0.000398
18947;0.203232;0.000000;0.000636
19;0.172867;0.000000;0.000557
19033;0.151262;0.009310;0.000500
19104;0.192697;0.000001;0.000630
19116;0.187557;0.000001;0.000597
1917;0.228146;0.000016;0.000743
19188;0.193441;0.000001;0.000615
1929;0.191569;0.000008;0.000612
19322;0.199990;0.000001;0.000627
19337;0.204683;0.000034;0.000656
1942;0.226325;0.000001;0.000728
1946;0.208040;0.000064;0.000678
19476;0.220273;0.000121;0.000694
19481;0.193579;0.000080;0.000607
19488;0.186990;0.000000;0.000616
19600;0.215841;0.000007;0.000692
1962;0.198921;0.000001;0.000624
19690;0.218901;0.000007;0.000704
19699;0.172896;0.000007;0.000573
19725;0.199703;0.000000;0.000654
1974;0.155309;0.000096;0.000510
19800;0.196313;0.000000;0.000637
19846;0.167025;0.000004;0.000554
19919;0.093451;0.000006;0.000252
19924;0.212415;0.000002;0.000687
19942;0.212871;0.000015;0.000667
1998;0.212103;0.000000;0.000677
19994;0.191599;0.000009;0.000616
20;0.179047;0.000000;0.000570
2000;0.085259;0.000003;0.000169
20023;0.209066;0.000001;0.000684
2009;0.185905;0.000000;0.000601
201;0.209027;0.000007;0.000656
20121;0.193613;0.000007;0.000615
20158;0.199345;0.000004;0.000659
2017;0.148702;0.000000;0.000493
202;0.228272;0.000141;0.000746
20203;0.223998;0.000045;0.000706
20228;0.055515;0.000004;0.000193
20239;0.201246;0.000001;0.000635
203;0.216151;0.000014;0.000710
20303;0.211211;0.000241;0.000678
20321;0.187553;0.000000;0.000590
2038;0.228328;0.000014;0.000741
204;0.221153;0.000001;0.000706
2040;0.224006;0.000085;0.000701
20411;0.164224;0.000000;0.000527
20417;0.200358;0.000006;0.000639
20439;0.210794;0.000000;0.000677
2044;0.209843;0.000000;0.000690
2048;0.211380;0.000098;0.000697
20480;0.204683;0.000073;0.000644
205;0.226302;0.000050;0.000731
20546;0.229563;0.000008;0.000738
20583;0.197860;0.000000;0.000640
20628;0.193686;0.000000;0.000610
20656;0.184097;0.000009;0.000585
20738;0.081771;0.001423;0.000273
2074;0.187795;0.000000;0.000618
2077;0.216485;0.000038;0.000714
20776;0.176736;0.000004;0.000555
20785;0.184098;0.000003;0.000581
208;0.178101;0.000001;0.000578
2085;0.230644;0.000174;0.000733
20851;0.168092;0.000000;0.000554
2087;0.217156;0.000004;0.000710
209;0.213415;0.000020;0.000677
20916;0.232710;0.000250;0.000744
20924;0.181353;0.000008;0.000569
2097;0.219477;0.000023;0.000694
21;0.220468;0.000113;0.000690
21000;0.085644;0.000000;0.000230
21020;0.212147;0.000007;0.000665
21196;0.214131;0.000000;0.000671
21200;0.208243;0.000000;0.000675
21291;0.202376;0.000096;0.000673
2130;0.219292;0.001284;0.000685
21300;0.203343;0.000004;0.000640
2131;0.194117;0.000112;0.000610
21327;0.231617;0.000169;0.000744
21339;0.206769;0.000000;0.000663
21394;0.218644;0.000000;0.000692
2147;0.223230;0.000025;0.000717
2148;0.219017;0.000069;0.000707
2149;0.220571;0.000030;0.000714
215;0.195876;0.000000;0.000624
2150;0.222531;0.000064;0.000717
2151;0.223620;0.000088;0.000715
2153;0.223651;0.000002;0.000728
216;0.152504;0.000229;0.000507
2160;0.210694;0.000020;0.000691
2162;0.217303;0.000000;0.000687
21638;0.208090;0.000000;0.000661
2166;0.232049;0.000234;0.000740
217;0.207950;0.000000;0.000673
21700;0.209549;0.000107;0.000682
21765;0.203811;0.000001;0.000660
21829;0.210687;0.000007;0.000678
219;0.210938;0.000013;0.000668
2197;0.217894;0.000000;0.000688
2199;0.189685;0.000000;0.000606
22;0.131364;0.000024;0.000417
220;0.172476;0.000000;0.000565
22091;0.197411;0.000367;0.000648
221;0.227904;0.000000;0.000732
22120;0.106258;0.000441;0.000344
22163;0.208144;0.000022;0.000660
222;0.226247;0.000001;0.000718
2226;0.214105;0.000000;0.000684
2229;0.086103;0.000000;0.000229
22298;0.176068;0.000000;0.000553
223;0.222886;0.000000;0.000710
2232;0.190594;0.000044;0.000609
22367;0.091079;0.000779;0.000244
22373;0.220951;0.000003;0.000705
22381;0.201116;0.000027;0.000653
224;0.222856;0.000000;0.000726
22400;0.202221;0.000073;0.000675
22456;0.183972;0.000000;0.000592
22541;0.157900;0.000495;0.000523
22542;0.194926;0.000024;0.000645
22566;0.209373;0.000005;0.000666
22599;0.159816;0.000000;0.000506
227;0.083647;0.000000;0.000176
2274;0.167577;0.000216;0.000549
22747;0.181225;0.000000;0.000585
22748;0.140711;0.000000;0.000453
228;0.181160;0.000001;0.000580
22814;0.186749;0.000000;0.000588
22968;0.076064;0.001062;0.000179
22976;0.179240;0.000000;0.000565
22994;0.203337;0.000000;0.000651
23;0.222489;0.000174;0.000695
2300;0.176030;0.000000;0.000575
23042;0.174100;0.000000;0.000564
23045;0.180221;0.000000;0.000577
233;0.219637;0.000000;0.000715
2350;0.225797;0.000004;0.000715
236;0.192753;0.000000;0.000616
23639;0.203466;0.000000;0.000662
23684;0.202503;0.000012;0.000635
23700;0.188915;0.000000;0.000615
23731;0.145969;0.000026;0.000487
2376;0.230604;0.000888;0.000723
23772;0.210191;0.000039;0.000656
23817;0.108879;0.000000;0.000384
23825;0.108693;0.000000;0.000384
2383;0.178385;0.000988;0.000583
23835;0.108694;0.000000;0.000384
23838;0.108682;0.000000;0.000384
23841;0.108693;0.000000;0.000384
23876;0.108646;0.000000;0.000383
2388;0.168674;0.000000;0.000545
23910;0.108756;0.000000;0.000384
23938;0.108399;0.000000;0.000382
23950;0.108693;0.000000;0.000384
23962;0.108586;0.000000;0.000383
2397;0.230920;0.000171;0.000741
2398;0.216029;0.000031;0.000678
23997;0.213862;0.000014;0.000671
2400;0.230247;0.000047;0.000737
24001;0.218279;0.000210;0.000705
24022;0.202780;0.000000;0.000650
24029;0.108399;0.000000;0.000382
24032;0.108746;0.000000;0.000384
24060;0.108640;0.000000;0.000383
24099;0.108746;0.000000;0.000384
2413;0.217040;0.000000;0.000700
24154;0.108693;0.000000;0.000384
24156;0.108399;0.000000;0.000382
24162;0.108656;0.000000;0.000383
24169;0.108587;0.000000;0.000383
24183;0.108656;0.000000;0.000383
242;0.214115;0.000004;0.000683
24226;0.108693;0.000000;0.000384
24233;0.108746;0.000000;0.000384
24239;0.108640;0.000000;0.000383
24264;0.108756;0.000000;0.000384
24273;0.108399;0.000000;0.000382
2428;0.216440;0.000054;0.000676
2434;0.174762;0.000317;0.000569
24345;0.221830;0.000031;0.000705
244;0.222444;0.000004;0.000703
24434;0.218564;0.000000;0.000689
24440;0.166687;0.000000;0.000530
2445;0.208103;0.000001;0.000649
2446;0.188217;0.000001;0.000607
2449;0.200308;0.000094;0.000634
245;0.221726;0.000048;0.000724
24518;0.195452;0.000012;0.000654
24526;0.209887;0.000009;0.000685
2456;0.208332;0.000000;0.000658
246;0.163526;0.000147;0.000516
2464;0.203452;0.000001;0.000657
2465;0.195833;0.000012;0.000629
24700;0.187334;0.000000;0.000611
24869;0.185365;0.000000;0.000610
2488;0.199658;0.000000;0.000649
24882;0.163794;0.000000;0.000530
24950;0.176787;0.000000;0.000565
2500;0.203234;0.000056;0.000645
25012;0.193680;0.000007;0.000611
25085;0.205412;0.000003;0.000642
2509;0.215231;0.000023;0.000676
25128;0.108701;0.000000;0.000384
25130;0.108746;0.000000;0.000384
25134;0.108926;0.000000;0.000385
25141;0.202415;0.000151;0.000640
25142;0.108746;0.000000;0.000384
25162;0.108693;0.000000;0.000384
