livreId;scoreGlobal
57260;0.604960
2523;0.604883
75810;0.604769
18269;0.604700
10715;0.604660
13940;0.604504
4217;0.604490
16713;0.604480
2509;0.604414
470;0.604330
40058;0.604188
2044;0.604099
4705;0.604024
11027;0.603807
19942;0.603638
47651;0.603629
3913;0.603625
6852;0.603520
9830;0.603367
46272;0.603120
3011;0.603047
42856;0.602803
45357;0.602766
2895;0.602283
37884;0.602104
2664;0.602066
60979;0.602055
23997;0.602001
75011;0.601888
43591;0.601867
24526;0.601851
5160;0.601803
51;0.601759
1946;0.601598
5307;0.601522
20439;0.601189
67149;0.601131
4039;0.600879
44369;0.600642
479;0.600439
20303;0.600408
1184;0.600108
42841;0.599919
18247;0.599890
18707;0.599733
107;0.599518
38219;0.599496
7986;0.599274
20023;0.599202
21196;0.599065
31086;0.598814
34901;0.598486
42290;0.598355
621;0.598207
10381;0.598183
4368;0.598109
29558;0.597914
73144;0.597899
11339;0.597898
28513;0.597848
21829;0.597804
30325;0.597692
14314;0.597691
15679;0.597472
16;0.597431
67363;0.597370
55070;0.597290
41771;0.597023
64908;0.596644
10376;0.596096
41128;0.596026
61963;0.595890
1672;0.595818
35690;0.595710
708;0.595507
30201;0.595389
40580;0.595379
1174;0.595203
8438;0.595052
42238;0.594939
36;0.594554
68;0.594498
149;0.594471
40143;0.594307
2850;0.593918
38784;0.593594
445;0.593588
3031;0.593401
10712;0.593324
5199;0.592935
1549;0.592867
21200;0.592863
77069;0.592813
963;0.592803
36281;0.592727
146;0.592711
171;0.592625
21020;0.592069
6615;0.592057
55822;0.591829
38427;0.591554
5611;0.591439
60408;0.591296
7142;0.590952
37499;0.590743
15381;0.590728
18047;0.590697
1872;0.590681
38735;0.590664
46901;0.590463
217;0.590434
40445;0.590427
14328;0.590328
9182;0.589969
76961;0.589883
1150;0.589600
62754;0.589513
968;0.589406
10827;0.589300
28780;0.589061
46;0.589008
52868;0.588882
22566;0.588866
37734;0.588767
36542;0.588600
10007;0.588529
45304;0.588482
4367;0.588389
28948;0.588241
44343;0.588046
17845;0.587913
52263;0.587766
66048;0.587157
13065;0.587141
76978;0.587080
5333;0.587022
42027;0.586799
41959;0.586695
4081;0.586592
1636;0.586479
967;0.586452
3176;0.586095
45988;0.585988
30601;0.585888
21765;0.585492
7452;0.585453
12814;0.585429
57342;0.585378
17090;0.585368
1572;0.585352
50922;0.585006
76996;0.584895
39270;0.584652
46915;0.584615
45580;0.584573
7829;0.584294
40161;0.584162
7524;0.584068
21638;0.583939
23772;0.583902
40935;0.583901
41214;0.583651
12587;0.583623
26654;0.583528
22400;0.583443
6130;0.583439
76952;0.583400
22163;0.583287
36438;0.583187
13529;0.583063
910;0.583045
696;0.583026
21339;0.582935
2610;0.582753
11937;0.582740
1079;0.582733
944;0.582690
2456;0.582629
10741;0.582574
201;0.582547
7439;0.582427
1173;0.582402
35110;0.582310
21291;0.582203
52319;0.582144
13701;0.582137
5669;0.582114
1658;0.581916
46389;0.581778
6762;0.581544
42996;0.581525
7001;0.580981
35;0.580920
45305;0.580903
580;0.580416
8601;0.580400
551;0.580384
15776;0.580361
14726;0.579943
41470;0.579885
3435;0.579780
10609;0.579742
1227;0.579552
45634;0.579548
60692;0.579532
45235;0.579475
14140;0.579368
74723;0.579281
45645;0.579173
103;0.579169
882;0.579062
23639;0.578913
996;0.578655
5230;0.578556
38081;0.578541
40426;0.578510
29895;0.578295
821;0.578014
644;0.577957
44125;0.577936
27755;0.577916
44566;0.577836
45540;0.577685
34853;0.577683
13417;0.577632
14264;0.577605
57431;0.577558
56006;0.577316
44929;0.577284
51356;0.577145
1056;0.576920
25564;0.576912
12297;0.576710
34413;0.576706
19337;0.576373
10732;0.576281
16927;0.576264
37587;0.576211
883;0.576088
44795;0.576019
22381;0.575927
2445;0.575898
3300;0.575771
38326;0.575598
44385;0.575449
40244;0.575333
159;0.575196
3875;0.574757
72;0.574662
2643;0.574646
37887;0.574551
57821;0.574451
13621;0.574435
15263;0.574403
37985;0.574399
26073;0.574025
2464;0.574021
41360;0.574000
271;0.573950
24022;0.573932
46032;0.573683
1513;0.573654
11531;0.573649
26;0.573560
575;0.573465
5116;0.573327
10623;0.573236
38269;0.573015
55317;0.572624
46134;0.572338
558;0.571975
17034;0.571877
45209;0.571331
131;0.571311
34321;0.571112
10657;0.570983
2739;0.570872
17396;0.570821
45848;0.570778
70458;0.570436
22994;0.570410
4320;0.570325
41006;0.570177
14636;0.570091
38941;0.570044
2500;0.569981
19725;0.569738
76955;0.569507
73;0.569449
16436;0.569320
10002;0.569239
4397;0.569179
47111;0.569101
599;0.568569
9662;0.568568
32465;0.568519
60852;0.568417
41680;0.568343
7321;0.568227
20158;0.568167
41563;0.568065
31270;0.567846
20480;0.567808
64931;0.567740
25085;0.567492
36427;0.567489
37408;0.567371
33111;0.567266
12843;0.567034
1874;0.566901
8861;0.566879
57980;0.566798
33000;0.566675
4517;0.566588
34323;0.566228
75948;0.566190
5186;0.566190
4361;0.566184
11;0.565962
51252;0.565805
2488;0.565370
25141;0.565034
37423;0.565029
17;0.565020
16328;0.564788
52914;0.564437
40868;0.564261
21300;0.564070
34318;0.564060
30142;0.563711
67799;0.563103
69566;0.562983
